"","colony_num","new_yard","split_date","parent_yard","parent_id","varroa_5cup","splits_made","stratum","trt","trt_numeric","notes","ch2_date","ch2_var_tray","ch2_var_wash","ch2_var_total","ch2_var_total2","ch2_var_total_check","ch2_wash_workers","ch2_wash_drones","ch2_wash_queens","ch18_date","ch18_qstatus","ch18_notes","ch18_eggs","ch18_ageoldest","ch18_age","ch30_date","ch30_eggs","ch30_qstatus","ch30_notes","ch30_ageoldest","ch30_age","lay_18","lay_30","start_layday","ch44_date","ch44_eggs","ch44_qstatus","ch44_fob","ch44_notes","ch58_date","ch58_eggs","ch58_qstatus","ch58_fob","ch58_notes","ch72_date","ch72_eggs","ch72_qstatus","ch72_fob","ch72_notes","ch72_supered","ch77_var_total","ch77_var_total2","ch77_var_total_check","ch77_wash_workers","ch77_wash_drones","ch77_wash_queens","ch77_lbs","ch77_lbs2","ch77_lbs_check","bottom_board","supers_supering_sheet_dontuse","chpost_date","post_supers_use","post_lbs","post_q_status","post_quick_fob","post_issues","post_notes","chpost_var_total","chpost_var_total2","chpost_var_total_check","chpost_wash_workers","chpost_wash_drones","chpost_wash_queens","date_decided_remove","exp_day_decided_remove","reason_removal","ch77_qstatus","ch77_efb","trt_label","trt_type","efb_columns","efb","ch2_wash_bees","ch77_wash_bees","chpost_wash_bees","qstatuses","failed","weak","QL","DL","established","issues","frames_bees","frames_wbr","frames_dbr","frames_honey","post_lbs_C","post_kgs_C"
"21","22-021","Shaw","3/8/22","MOT","20-18",3,3,5,"2-Apivar",2,"","3/10/22",NA,NA,3,3,"0",284,9,0,"3/26/22","QNS","","N",NA,NA,"4/7/22","Y","QS","","L2",5,"#VALUE!","25",25,"4/21/22","Y","QR",7,"","5/5/22","Y","QR","11","","5/19/22","Y","QR",7,"","",5,5,"0",310,23,0,120.4,120.4,"0","Normal",1,"7/1/22",1,139,"QR",14,NA,"very gentle",4,4,0,366,10,0,"",NA,"","QS",NA,"Apivar","Synthetic"," NA",0,293,333,376,"QR QR QR QS ",0,0,0,0,1,0,2.6475,1.175,0.25,4.775,139,63.106
"22","22-022","Shaw","3/8/22","MOT","21-008",3,2,5,"6-ManyDribble",6,"","3/10/22",NA,NA,0,0,"0",337,1,0,"3/26/22","QNS","","N",NA,NA,"4/7/22","Y","QS","","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",6,"","5/5/22","Y","QR","10","","5/19/22","Y","QR",14,"","",1,1,"0",336,1,0,132.2,132.2,"0","Normal",1,"7/1/22",1,157.8,"QL",16,1,"emergency cells plugged",20,20,0,340,1,0,"",NA,"","QR",NA,"5x OA Dribble","Natural"," NA",0,338,337,341,"QR QR QR QR ",0,0,0,0,1,0,4.075,1.6125,0,5.8775,157.8,71.6412
"23","22-023","Shaw","3/8/22","MOT","21-008",3,2,5,"1-Control",1,"","3/10/22",NA,NA,1,1,"0",269,2,0,"3/26/22","QS","","Y","L5",8,"4/7/22","Y","QR","","Capped",NA,"10","#VALUE!",10,"4/21/22","Y","QR",8,"mod EFB",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/21/22",44,"EFB",NA,NA,"Control","Control","EFB NA",1,271,NA,NA,"QR NA NA NA EFB",0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
"24","22-024","Shaw","3/8/22","MOT","21-001",1,2,6,"2-Apivar",2,"","3/10/22",NA,NA,1,1,"0",288,0,0,"3/26/22","QS","","Y","Eggs",2,"4/7/22","Y","QS","","Capped",NA,"16","#VALUE!",16,"4/21/22","Y","QR",8,"mild EFB",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/21/22",44,"EFB",NA,NA,"Apivar","Synthetic","EFB NA",1,288,NA,NA,"QR NA NA NA EFB",0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
"25","22-025","Shaw","3/8/22","MOT","21-001",1,2,6,"5-Vapor18",5,"","3/10/22",NA,NA,0,0,"0",287,0,0,"3/26/22","QS","","Y","L4",7,"4/7/22","Y","QR","","Capped",NA,"11","#VALUE!",11,"4/21/22","Y","QR",6.5,"mod EFB",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/21/22",44,"EFB",NA,NA,"OA Vapor","Natural","EFB NA",1,287,NA,NA,"QR NA NA NA EFB",0,0,0,0,1,1,NA,NA,NA,NA,NA,NA
"26","22-026","Shaw","3/8/22","MOT","20-69",24,5,1,"4-Dribble18",4,"","3/10/22",9,5,14,14,"0",261,8,0,"3/26/22","QNS","stung q cells","N",NA,NA,"4/7/22","Y","QR","","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",5.5,"ants","5/5/22","Y","QR","8","","5/19/22","Y","QR",4.5,"","",32,32,"0",311,3,0,106,106,"0","Normal",1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"5/24/22",77,"EFB","QR","Observed","OA Dribble","Natural","EFB Observed",1,269,314,NA,"QR QR QR QR EFB",0,0,0,0,1,1,1.5,1.525,0,2.5,NA,NA
"27","22-027","Shaw","3/8/22","MOT","20-69",24,5,1,"1-Control",1,"","3/10/22",8,4,12,12,"0",314,2,0,"3/26/22","QS","q maybe flew","Y","L1",4,"4/7/22","Y","QR","","Capped",NA,"14","#VALUE!",14,"4/21/22","Y","QR",5.5,"","5/5/22","Y","QR","10","","5/19/22","Y","QR",6,"","",35,35,"0",319,1,0,97.8,97.8,"0","Normal",1,"7/1/22",1,93.8,"QR",4,NA,"Dying w mites. mite bomb",135,135,0,388,0,0,"",NA,"","QS",NA,"Control","Control"," NA",0,316,320,388,"QR QR QR QS ",0,0,0,0,1,0,1.85,1.65,0.05,2.4,93.8,42.5852
"28","22-028","Shaw","3/8/22","MOT","20-69",24,5,1,"5-Vapor18",5,"","3/10/22",NA,NA,8,8,"0",282,9,0,"3/26/22","QNS","","N",NA,NA,"4/7/22","N","QL","Dud. Remove from trial",NA,NA,"#VALUE!","#VALUE!",NA,"4/21/22",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/7/22",30,"Failed to mate",NA,NA,"OA Vapor","Natural","Failed to mate NA",0,291,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"29","22-029","Shaw","3/8/22","MOT","20-69",24,5,1,"7-HopGuard",7,"","3/10/22",NA,NA,8,8,"0",284,11,0,"3/26/22","VQS","ants","N",NA,NA,"4/7/22","N","QL","Dud. Beginning of laying worker. Remove from trial",NA,NA,"#VALUE!","#VALUE!",NA,"4/21/22",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"4/7/22",30,"Failed to mate",NA,NA,"HopGuard","Natural","Failed to mate NA",0,295,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"30","22-030","Shaw","3/8/22","MOT","20-69",24,5,1,"6-ManyDribble",6,"","3/10/22",NA,NA,3,3,"0",270,17,0,"3/26/22","QR","","Y","L5",8,"4/7/22","Y","QR","","Capped",NA,"10","#VALUE!",10,"4/21/22","Y","QR",3.5,"bad ants; 3/4 feeder remaining","5/5/22","Y","QR","6","LOT SOF ANTS","5/19/22","Y","QR",3.5,"lots of ants","",2,2,"0",349,2,0,93.8,93.8,"0","Normal",1,"7/1/22",1,94.6,"QS",5,NA,"poor pattern",6,6,0,385,0,0,"",NA,"","QS",NA,"5x OA Dribble","Natural"," NA",0,287,351,385,"QR QR QR QS ",0,0,0,0,1,0,1.925,1.225,0,1.775,94.6,42.9484
"31","22-031","Shaw","3/8/22","MOT","21-026",4,2,4,"6-ManyDribble",6,"","3/10/22",NA,NA,2,2,"0",258,11,0,"3/26/22","QNS","","N",NA,NA,"4/7/22","Y","QR","","L5",8,"#VALUE!","22",22,"4/21/22","Y","QR",9.5,"","5/5/22","Y","QR","14","","5/19/22","Y","QS",18,"","second super",2,2,"0",298,15,0,188.8,188.8,"0","Normal",3,"7/1/22",3,254.6,"QR",18,NA,"",5,5,0,389,2,0,"",NA,"","QS",NA,"5x OA Dribble","Natural"," NA",0,269,313,391,"QR QR QS QS ",0,0,0,0,1,0,5.752,3.05,0.1875,12.446,230.6,104.6924
"32","22-032","Shaw","3/8/22","MOT","21-026",4,2,4,"3-Taktic",3,"","3/10/22",NA,NA,1,1,"0",251,14,0,"3/26/22","QNS","","N",NA,NA,"4/7/22","Y","QS","","L4",7,"#VALUE!","23",23,"4/21/22","Y","QR",4,"bad ants; 3/4 feeder remaining","5/5/22","Y","QR","10.5","","5/19/22","Y","QR",8,"","",1,1,"0",364,6,0,129.4,129.4,"0","Normal",2,"7/1/22",1,171,"QR",14,NA,"",4,4,0,416,3,0,"",NA,"","QS",NA,"Amitraz EC","Synthetic"," NA",0,265,370,419,"QR QR QR QS ",0,0,0,0,1,0,3.65,3.025,0.075,5.625,171,77.634
"33","22-033","Shaw","3/8/22","MOT","21-022",1,2,6,"7-HopGuard",7,"","3/10/22",NA,NA,0,0,"0",298,1,0,"3/26/22","QNS","","N",NA,NA,"4/7/22","Y","QS","Weak 1.5 FOB. Unlikely to thrive, doubled and fed anyway","L5",8,"#VALUE!","22",22,"4/21/22","Y","QR",3,"ants","5/5/22","Y","QR","7","","5/19/22","Y","QR",5.5,"","",0,0,"0",365,3,0,114.6,114.6,"0","Normal",1,"7/1/22",1,143.8,"QR",13,NA,"",1,1,0,469,2,0,"",NA,"","QR",NA,"HopGuard","Natural"," NA",0,299,368,471,"QR QR QR QR ",0,0,0,0,1,0,2.0375,2.0125,0,4.425,143.8,65.2852
"34","22-034","Shaw","3/8/22","MOT","21-022",1,2,6,"6-ManyDribble",6,"","3/10/22",NA,NA,2,2,"0",291,5,0,"3/26/22","QR","","Y","Eggs",2,"4/7/22","Y","QR","","Capped",NA,"16","#VALUE!",16,"4/21/22","Y","QR",8.5,"","5/5/22","Y","QR","14","","5/19/22","Y","QR",16,"","",2,2,"0",344,19,0,157.6,157.6,"0","Normal",2,"7/1/22",2,191,"QR",15,NA,"plugged",5,5,0,236,1,0,"",NA,"","QS",NA,"5x OA Dribble","Natural"," NA",0,296,363,237,"QR QR QR QS ",0,0,0,0,1,0,NA,NA,NA,NA,179,81.266
